Символьный код,DN,DN_code,PN,PN_code,Единица измерения PN code,Усилие на открытие,Усилие на закрытие,Число оборотов на открытие,Размер штока,Монтажные площадки
ABRA 4016-040,40,40,16,bar-016,kgsm,40,40,5.5,D16х5,F10
ABRA 4016-050,50,50,16,bar-016,kgsm,40,40,7.0,D16х5,F10
ABRA 4016-065,65,65,16,bar-016,kgsm,40,40,8.5,D16х5,F10
ABRA 4016-080,80,80,16,bar-016,kgsm,60,60,10.5,D18x6,F10
ABRA 4016-100,100,100,16,bar-016,kgsm,75,75,13.0,D18x6,F10
ABRA 4016-125,125,125,16,bar-016,kgsm,95,95,13.0,D22x6,F10
ABRA 4016-150,150,150,16,bar-016,kgsm,110,110,15.5,D22x6,F10
ABRA 4016-200,200,200,16,bar-016,kgsm,160,160,21.0,D25x8х7,F14
ABRA 4016-250,250,250,16,bar-016,kgsm,210,210,22.0,D25x8х7,F14
ABRA 4016-300,300,300,16,bar-016,kgsm,280,280,26.0,D25x8х7,F14
ABRA 4016-350,350,350,16,bar-016,kgsm,340,340,30.5,D40x12,F16
ABRA 4016-400,400,400,16,bar-016,kgsm,380,380,35.0,D40x12,F16
ABRA 4016-450,450,450,16,bar-016,kgsm,450,450,39.0,D40x12,F25
ABRA 4016-500,500,500,16,bar-016,kgsm,500,500,43.5,D40x12,F25
ABRA 4016-600,600,600,16,bar-016,kgsm,600,600,52.0,D40x12,F25
